time,place,magnitude,longitude,latitude,depth,file_name
1753487987510,"16 km SW of Tecate, B.C., MX",1.06,-116.769,32.482,4.18,20250725_earthquakedata.csv
1753487949992,"29 km NW of Toyah, Texas",1.7,-104.017,31.493,4.791,20250725_earthquakedata.csv
1753487887330,"3 km SSW of Guánica, Puerto Rico",2.0,-66.921,17.9436666666667,12.29,20250725_earthquakedata.csv
1753487854008,western Indian-Antarctic Ridge,4.6,123.4955,-48.9525,10.0,20250725_earthquakedata.csv
1753487649030,"113 km SSE of Sand Point, Alaska",3.6,-160.0671,54.3492,17.497,20250725_earthquakedata.csv
1753487477800,"2 km SE of Rowland Heights, CA",1.3,-117.8835,33.964,9.44,20250725_earthquakedata.csv
1753487301073,"5 km ENE of Houston, Alaska",1.7,-149.7212,61.6542,33.0,20250725_earthquakedata.csv
1753486864110,"5 km NW of Cabazon, CA",1.12,-116.827,33.942,8.04,20250725_earthquakedata.csv
1753485970070,"49 km WNW of Beluga, Alaska",0.22,-151.881666666667,61.3591666666667,2.78,20250725_earthquakedata.csv
1753485712850,"10 km SSE of Maria Antonia, Puerto Rico",2.16,-66.8601666666667,17.8856666666667,14.89,20250725_earthquakedata.csv
1753485308817,"122 km ESE of Petropavlovsk-Kamchatsky, Russia",5.0,160.3185,52.658,10.0,20250725_earthquakedata.csv
1753485212760,"4 km WSW of Aguanga, CA",0.7,-116.9015,33.4303333,10.66,20250725_earthquakedata.csv
1753485046090,"10 km NW of The Geysers, CA",0.77,-122.850997924805,38.8269996643066,1.80999994277954,20250725_earthquakedata.csv
1753484141486,"130 km WNW of Tobelo, Indonesia",4.8,126.8719,2.028,88.354,20250725_earthquakedata.csv
1753483406100,"9 km SSE of Maria Antonia, Puerto Rico",2.43,-66.861,17.9015,15.4,20250725_earthquakedata.csv
1753482252392,"88 km NE of Tonopah, Nevada",1.6,-116.427,38.548,9.2,20250725_earthquakedata.csv
1753482043370,"10 km NE of Castle Rock, Washington",1.37,-122.79916666666666,46.33716666666667,-0.47,20250725_earthquakedata.csv
1753481631690,"7 km NW of The Geysers, CA",1.25,-122.812835693359,38.8190002441406,2.66000008583069,20250725_earthquakedata.csv
